,submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,sliderResponse
0,816,relevant,5,exhaustive,positive,neutral,1.0,1.0,1.0
1,816,relevant,8,high_certainty,negative,positive,1.0,1.0,0.55
2,816,relevant,6,high_certainty,positive,negative,1.0,1.0,0.44
3,816,relevant,10,low_certainty,negative,positive,1.0,1.0,0.05
4,816,relevant,9,exhaustive,negative,negative,1.0,1.0,1.0
5,816,relevant,7,exhaustive,positive,positive,1.0,1.0,0.96
6,816,relevant,12,low_certainty,negative,neutral,1.0,1.0,0.16
7,816,relevant,2,low_certainty,positive,neutral,1.0,1.0,0.56
8,816,relevant,3,non_answer,,negative,1.0,1.0,0.0
9,816,relevant,4,low_certainty,positive,positive,1.0,1.0,0.01
10,818,relevant,10,high_certainty,negative,negative,1.0,1.0,0.4
11,818,relevant,8,low_certainty,negative,positive,1.0,1.0,0.6
12,818,relevant,1,non_answer,,neutral,1.0,1.0,0.1
13,818,relevant,11,high_certainty,positive,negative,1.0,1.0,0.8
14,818,relevant,9,low_certainty,positive,positive,1.0,1.0,0.4
15,818,relevant,5,low_certainty,negative,negative,1.0,1.0,0.6
16,818,relevant,6,exhaustive,negative,positive,1.0,1.0,0.95
17,818,relevant,4,non_answer,,neutral,1.0,1.0,0.0
18,818,relevant,12,high_certainty,positive,neutral,1.0,1.0,0.1
19,818,relevant,3,exhaustive,positive,positive,1.0,1.0,1.0
20,821,relevant,1,high_certainty,positive,neutral,0.5,1.0,0.7
21,821,relevant,6,exhaustive,positive,neutral,0.5,1.0,1.0
22,821,relevant,4,high_certainty,positive,positive,0.5,1.0,0.79
23,821,relevant,7,high_certainty,negative,negative,0.5,1.0,0.61
24,821,relevant,9,exhaustive,negative,positive,0.5,1.0,1.0
25,821,relevant,11,non_answer,,neutral,0.5,1.0,0.0
26,821,relevant,8,non_answer,,positive,0.5,1.0,0.0
27,821,relevant,10,low_certainty,negative,negative,0.5,1.0,0.24
28,821,relevant,5,high_certainty,negative,negative,0.5,1.0,0.7
29,821,relevant,12,low_certainty,positive,negative,0.5,1.0,0.0
30,817,relevant,3,low_certainty,negative,positive,1.0,1.0,0.27
31,817,relevant,10,high_certainty,positive,neutral,1.0,1.0,0.07
32,817,relevant,11,high_certainty,positive,negative,1.0,1.0,0.84
33,817,relevant,6,low_certainty,negative,negative,1.0,1.0,0.41
34,817,relevant,8,exhaustive,positive,positive,1.0,1.0,0.88
35,817,relevant,1,non_answer,,positive,1.0,1.0,0.02
36,817,relevant,5,exhaustive,negative,neutral,1.0,1.0,0.96
37,817,relevant,7,non_answer,,neutral,1.0,1.0,0.01
38,817,relevant,4,low_certainty,positive,negative,1.0,1.0,0.06
39,817,relevant,9,high_certainty,negative,positive,1.0,1.0,0.21
40,819,relevant,7,non_answer,,positive,1.0,1.0,0.0
41,819,relevant,5,low_certainty,negative,positive,1.0,1.0,0.65
42,819,relevant,8,low_certainty,positive,negative,1.0,1.0,0.57
43,819,relevant,1,high_certainty,positive,neutral,1.0,1.0,0.4
44,819,relevant,2,exhaustive,negative,neutral,1.0,1.0,1.0
45,819,relevant,11,exhaustive,positive,negative,1.0,1.0,1.0
46,819,relevant,3,high_certainty,positive,positive,1.0,1.0,0.6
47,819,relevant,12,non_answer,,negative,1.0,1.0,0.01
48,819,relevant,4,high_certainty,negative,neutral,1.0,1.0,0.1
49,819,relevant,9,exhaustive,positive,negative,1.0,1.0,1.0
50,829,relevant,9,high_certainty,positive,positive,1.0,0.5,1.0
51,829,relevant,2,low_certainty,negative,positive,1.0,0.5,0.0
52,829,relevant,7,non_answer,,neutral,1.0,0.5,0.0
53,829,relevant,4,low_certainty,negative,negative,1.0,0.5,0.15
54,829,relevant,12,exhaustive,negative,neutral,1.0,0.5,1.0
55,829,relevant,5,high_certainty,negative,neutral,1.0,0.5,0.77
56,829,relevant,8,exhaustive,negative,negative,1.0,0.5,1.0
57,829,relevant,1,low_certainty,positive,positive,1.0,0.5,0.64
58,829,relevant,10,exhaustive,positive,negative,1.0,0.5,0.75
59,829,relevant,11,high_certainty,negative,negative,1.0,0.5,0.66
60,820,relevant,2,high_certainty,negative,neutral,1.0,0.5,0.54
61,820,relevant,1,high_certainty,negative,negative,1.0,0.5,0.37
62,820,relevant,3,low_certainty,positive,neutral,1.0,0.5,0.0
63,820,relevant,11,low_certainty,negative,positive,1.0,0.5,0.38
64,820,relevant,10,exhaustive,positive,negative,1.0,0.5,0.92
65,820,relevant,5,exhaustive,negative,negative,1.0,0.5,1.0
66,820,relevant,7,low_certainty,negative,positive,1.0,0.5,0.19
67,820,relevant,4,exhaustive,positive,positive,1.0,0.5,0.74
68,820,relevant,12,high_certainty,positive,neutral,1.0,0.5,0.0
69,820,relevant,9,non_answer,,positive,1.0,0.5,0.0
70,825,relevant,7,low_certainty,negative,negative,1.0,1.0,0.72
71,825,relevant,6,high_certainty,negative,positive,1.0,1.0,0.75
72,825,relevant,4,low_certainty,positive,neutral,1.0,1.0,0.21
73,825,relevant,9,exhaustive,positive,neutral,1.0,1.0,1.0
74,825,relevant,2,high_certainty,positive,neutral,1.0,1.0,0.72
75,825,relevant,10,non_answer,,positive,1.0,1.0,0.0
76,825,relevant,12,non_answer,,negative,1.0,1.0,0.0
77,825,relevant,3,exhaustive,negative,negative,1.0,1.0,1.0
78,825,relevant,8,exhaustive,positive,positive,1.0,1.0,1.0
79,825,relevant,5,low_certainty,positive,neutral,1.0,1.0,0.53
80,822,relevant,5,non_answer,,positive,1.0,0.5,0.1
81,822,relevant,8,exhaustive,positive,neutral,1.0,0.5,1.0
82,822,relevant,9,exhaustive,positive,negative,1.0,0.5,0.98
83,822,relevant,7,exhaustive,negative,neutral,1.0,0.5,0.95
84,822,relevant,12,high_certainty,negative,negative,1.0,0.5,0.65
85,822,relevant,3,low_certainty,positive,positive,1.0,0.5,0.05
86,822,relevant,1,non_answer,,positive,1.0,0.5,0.1
87,822,relevant,11,high_certainty,positive,negative,1.0,0.5,0.9
88,822,relevant,6,low_certainty,negative,neutral,1.0,0.5,0.7
89,822,relevant,2,high_certainty,negative,neutral,1.0,0.5,0.99
90,823,relevant,9,low_certainty,negative,neutral,1.0,1.0,0.62
91,823,relevant,12,low_certainty,positive,positive,1.0,1.0,0.2
92,823,relevant,4,exhaustive,negative,negative,1.0,1.0,1.0
93,823,relevant,3,non_answer,,neutral,1.0,1.0,0.0
94,823,relevant,11,high_certainty,negative,negative,1.0,1.0,0.89
95,823,relevant,6,exhaustive,positive,positive,1.0,1.0,1.0
96,823,relevant,1,exhaustive,negative,negative,1.0,1.0,1.0
97,823,relevant,5,high_certainty,positive,neutral,1.0,1.0,0.95
98,823,relevant,8,low_certainty,negative,positive,1.0,1.0,0.07
99,823,relevant,10,low_certainty,positive,neutral,1.0,1.0,0.62
100,824,relevant,3,high_certainty,negative,neutral,1.0,1.0,1.0
101,824,relevant,6,low_certainty,positive,neutral,1.0,1.0,0.0
102,824,relevant,9,low_certainty,positive,negative,1.0,1.0,0.13
103,824,relevant,8,high_certainty,positive,negative,1.0,1.0,1.0
104,824,relevant,11,exhaustive,positive,positive,1.0,1.0,1.0
105,824,relevant,2,non_answer,,positive,1.0,1.0,0.0
106,824,relevant,4,exhaustive,negative,positive,1.0,1.0,1.0
107,824,relevant,10,low_certainty,negative,neutral,1.0,1.0,0.38
108,824,relevant,1,exhaustive,negative,negative,1.0,1.0,1.0
109,824,relevant,7,low_certainty,negative,positive,1.0,1.0,0.24
110,826,relevant,9,low_certainty,positive,neutral,1.0,0.5,0.68
111,826,relevant,6,high_certainty,negative,neutral,1.0,0.5,0.8
112,826,relevant,4,high_certainty,positive,negative,1.0,0.5,0.69
113,826,relevant,10,low_certainty,negative,positive,1.0,0.5,0.6
